input_index,action_candidate,sequence_status,fix_applied,detail,prev_start_sec,prev_end_sec,cur_start_sec,cur_end_sec,dropped_index,inserted_round_no,inserted_start_sec,inserted_end_sec,split_from_index,boundary_sec,ocr_scan_results
6,keep,ok,map_ocr,current_map=HAVEN,,,736.736,862.862,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 737.736}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 739.736}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 741.736}]"
7,keep,ok,map_ocr,current_map=HAVEN,,,895.895,972.972,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 896.895}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 898.895}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 900.895}]"
8,keep,ok,map_ocr,current_map=HAVEN,,,991.991,1148.147,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 992.991}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 994.991}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 996.991}]"
9,keep,ok,map_ocr,current_map=HAVEN,,,1170.169,1262.261,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1171.169}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1173.169}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1175.169}]"
10,keep,ok,map_ocr,current_map=HAVEN,,,1301.3,1382.381,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1302.3}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1304.3}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL OECIDER: ABYSS"", ""t_sec"": 1306.3}]"
11,keep,ok,map_ocr,current_map=HAVEN,,,1421.42,1474.473,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1422.42}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1424.42}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1426.42}]"
12,keep,ok,map_ocr,current_map=HAVEN,,,1617.616,1688.687,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1618.616}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1620.616}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1622.616}]"
13,keep,ok,map_ocr,current_map=HAVEN,,,1714.713,1793.792,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1715.713}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1717.713}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1719.713}]"
14,keep,ok,map_ocr,current_map=HAVEN,,,1814.813,1919.918,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1815.813}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1817.813}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1819.813}]"
15,keep,ok,map_ocr,current_map=HAVEN,,,1949.948,2067.065,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1950.948}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1952.948}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 1954.948}]"
16,keep,ok,map_ocr,current_map=HAVEN,,,2153.151,2225.223,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2154.151}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2156.151}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2158.151}]"
17,keep,ok,map_ocr,current_map=HAVEN,,,2244.242,2338.336,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL OECIDER: ABYSS"", ""t_sec"": 2245.242}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2247.242}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2249.242}]"
18,keep,ok,map_ocr,current_map=HAVEN,,,2368.366,2420.418,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2369.366}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2371.366}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2373.366}]"
19,keep,ok,map_ocr,current_map=HAVEN,,,2451.449,2574.572,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2452.449}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2454.449}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2456.449}]"
20,keep,ok,map_ocr,current_map=HAVEN,,,2665.663,2771.769,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2666.663}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2668.663}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2670.663}]"
21,keep,ok,map_ocr,current_map=HAVEN,,,2795.793,2885.8830000000003,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2796.793}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2798.793}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2800.793}]"
22,keep,ok,map_ocr,current_map=HAVEN,,,2985.983,3099.096,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2986.983}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2988.983}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 2990.983}]"
23,keep,ok,map_ocr,current_map=HAVEN,,,3125.122,3229.226,,,,,,,"[{""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 3126.122}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 3128.122}, {""current_map"": ""HAVEN"", ""ocr_text"": ""CURRENT: HAVEN NEXT: PEARL DECIDER: ABYSS"", ""t_sec"": 3130.122}]"
24,manual_check,map_change_or_ocr_error,map_ocr,current_map=PEARL,,,3242.239,3284.281,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3243.239}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3245.239}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3247.239}]"
25,keep,ok,map_ocr,current_map=PEARL,,,3313.31,3372.369,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3314.31}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3316.31}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3318.31}]"
26,keep,ok,map_ocr,current_map=PEARL,,,3398.395,3486.483,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3399.395}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3401.395}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3403.395}]"
27,keep,ok,map_ocr,current_map=PEARL,,,3507.504,3564.561,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3508.504}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3510.504}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3512.504}]"
28,keep,ok,map_ocr,current_map=PEARL,,,3593.59,3704.701,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3594.59}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3596.59}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3598.59}]"
29,keep,ok,map_ocr,current_map=PEARL,,,3732.729,3801.798,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3733.729}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3735.729}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3737.729}]"
30,keep,ok,map_ocr,current_map=PEARL,,,3832.829,3940.937,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIOER: ABYSS"", ""t_sec"": 3833.829}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3835.829}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3837.829}]"
31,keep,ok,map_ocr,current_map=PEARL,,,3970.967,4025.021,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3971.967}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3973.967}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 3975.967}]"
32,split,split_round_transition,map_ocr,current_map=PEARL,,,4055.051,4157.551,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4056.051}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4058.051}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4060.051}]"
32,split,split_round_transition,map_ocr,current_map=PEARL,,,4157.551,4269.265,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4158.551}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4160.551}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4162.551}]"
33,inspect_between,missing_round_between,map_ocr,current_map=PEARL,,,4358.354,4489.485,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4359.354}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4361.354}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4363.354}]"
34,keep,ok,map_ocr,current_map=PEARL,,,4504.5,4561.557,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4505.5}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4507.5}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4509.5}]"
35,keep,ok,map_ocr,current_map=PEARL,,,4707.703,4846.842,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4708.703}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4710.703}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4712.703}]"
36,keep,ok,map_ocr,current_map=PEARL,,,4879.875,4982.978,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIOER: ABYSS"", ""t_sec"": 4880.875}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4882.875}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 4884.875}]"
37,split,split_round_transition,map_ocr,current_map=PEARL,,,5022.017,5129.517,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5023.017}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5025.017}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5027.017}]"
37,split,split_round_transition,map_ocr,current_map=PEARL,,,5129.517,5135.13,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5130.517}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5132.517}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5134.517}]"
38,keep,ok,map_ocr,current_map=PEARL,,,5150.145,5252.247,,,,,,,"[{""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5151.145}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5153.145}, {""current_map"": ""PEARL"", ""ocr_text"": ""HAVEN 11-13 CURRENT: PEARL DECIDER: ABYSS"", ""t_sec"": 5155.145}]"
